Features,Normalized importance
lt,100
imei_mean_days_usage,39.08
voice_in_mts_avg_dur_mea_mnt3,18.42
myvf_day_usage,17.84
imei_mean_long_days_usage,16.21
imei_mean_day_announced,13.61
block_all_dur_min_mnt3,10.49
Balance_uah,10.28
voice_in_fix_tar_dur_mea_mnt3,9.5
TM_ID,8.94
,
cnt_sms_taxi-838,0.22
cnt_sms_facebook,-0.2
cnt_sms_fishka,-0.29
cnt_sms_uklon,-0.42
cnt_sms_epicentrk,-0.6
cnt_sms_colins,-0.68
cnt_sms_privatbank,-1
cnt_sms_pmml,-1.28
cnt_sms_oschadbank,-1.36
cnt_sms_novaposhta,-1.48
,
avg_cnt_sms,1.22
total_cnt_sms_in,0.88
total_cnt_sms,0.25
total_call_dur,-0.31
avg_call_dur,-0.62
sms_per_call_cnt,-1.08
total_call_dur_out,-1.35
total_bnum,-1.40
,
SUM_of_Volume_kb_814,64.33
SUM_of_Volume_kb_254,40.94
SUM_of_Duration_sec_814,33.78
SUM_of_Count_events_814,26.38
SUM_of_Volume_kb_240,21.68
SUM_of_Duration_sec_240,18.16
SUM_of_Count_events_240,16.83
SUM_of_Volume_kb_777,12.47
SUM_of_Volume_kb_267,12.28
SUM_of_Count_events_1414,9.20
,
daily_session_cnt_rate_1020,7.39
daily_session_cnt_rate_1373,3.8
daily_traffic_rate_254,3.14
daily_traffic_rate_320,2.81
daily_session_cnt_rate_1125,2.61
daily_session_cnt_rate_933,2.32
daily_session_dur_rate_1373,1.76
daily_session_cnt_rate_240,1.68
daily_session_cnt_rate_710,1.63
daily_session_dur_rate_1397,1.43
,
avg_session_sec,4.46
avg_session_traffic_kb,0.92
avg_daily_session_sec_sum,-0.59
avg_daily_traffic_kb,-1.91
avg_daily_session_cnt,-2.21
